tile_id,cement_prob,cement_uid,dist_m
WRS2-124036-19238,0.17007948458194733,CHN0851,723.1121219571696
WRS2-124036-19705,0.31157296895980835,CHN0239,772.2529562154795
WRS2-124036-21576,0.11559745669364928,CHN1185,517.9056078041629
WRS2-124036-21783,0.3628464341163635,CHN0322,478.8876023824624
WRS2-124036-24261,0.8162165284156799,CHN0957,578.7225269066652
WRS2-124037-01110,0.4064552485942841,CHN1218,738.4595228519696
WRS2-124037-11432,0.7573802471160889,CHN1120,766.261596217681
WRS2-124037-14287,0.7816302180290222,CHN1114,567.8477213857724
WRS2-124037-15031,0.9562351107597352,CHN0744,205.5582995503939
WRS2-124037-15178,0.3549659550189972,CHN0918,597.2295095694186
WRS2-124037-16461,0.949999451637268,CHN0166,587.7714317183047
WRS2-124037-16705,0.91499125957489,CHN0140,517.0905044322236
WRS2-124037-16824,0.6039091348648071,CHN1103,570.2162345477624
WRS2-124037-18967,0.6913201808929443,CHN1181,477.57724755882947
WRS2-124037-21067,0.9449142813682556,CHN0736,307.9425810239789
WRS2-124037-21557,0.35955360531806946,CHN0867,463.1955986639548
WRS2-124038-01355,0.8326388001441956,CHN0357,264.62065149959074
WRS2-124038-04433,0.8466648459434509,CHN0977,383.5714984531949
WRS2-124038-05103,0.9290419816970824,CHN0114,203.47897786656958
WRS2-124038-06012,0.5601195693016052,CHN0918,509.81941729777316
WRS2-124038-09598,0.3708879351615906,CHN0994,649.8476085170006
WRS2-124038-11593,0.7823694944381714,CHN0995,289.78822433843385
WRS2-124038-15919,0.9078125357627868,CHN0793,400.4931694115153
WRS2-124038-17755,0.3111128807067871,CHN0935,514.900906721729
WRS2-124039-00973,0.9280652403831482,CHN0793,505.1013667533801
WRS2-124039-04483,0.3735780417919159,CHN0931,427.7548262513184
WRS2-124039-08196,0.40091899037361145,CHN0933,569.4342702530316
WRS2-124039-08843,0.47495383024215704,CHN0702,394.55736941082824
WRS2-124039-10626,0.9751994609832764,CHN0979,408.3069868164556
WRS2-124039-12346,0.885060727596283,CHN0114,341.2608326466616
WRS2-124039-13789,0.94379985332489,CHN1096,486.23945135678423
WRS2-124039-22875,0.4338093101978302,CHN0970,315.9367120867879
WRS2-124040-03431,0.9614407420158386,CHN0057,343.8301105938753
WRS2-124040-03582,0.8597941398620605,CHN1011,295.0451511346813
WRS2-124040-05648,0.30283474922180176,CHN0696,671.2636131070515
WRS2-124040-09351,0.2820460200309753,CHN1096,600.1918771342516
WRS2-124040-16297,0.6713080406188965,CHN0132,543.8833380200202
WRS2-124040-16491,0.9205383062362672,CHN1010,281.7832797555977
WRS2-124040-19485,0.5016086101531982,CHN1007,584.9933627361396
WRS2-124041-05396,0.8245109915733337,CHN0050,385.50881225477167
WRS2-124041-05824,0.3590638339519501,CHN0056,703.0975986442593
WRS2-124041-08131,0.7914931178092957,CHN1147,393.480995552696
WRS2-124041-08649,0.29677513241767883,CHN1230,375.44096941277087
WRS2-124041-11980,0.5155795812606812,CHN1009,492.17979947608853
WRS2-124041-12813,0.4486201107501984,CHN0169,557.6816162035378
WRS2-124041-18318,0.497211903333664,CHN0033,497.5953821445953
WRS2-124041-18969,0.7572441697120667,CHN1148,347.95291001202037
WRS2-124041-20311,0.9430100321769714,CHN1011,208.5234482887399
WRS2-124041-22408,0.7891274690628052,CHN0972,183.06094232124036
WRS2-124042-01982,0.668595552444458,CHN1024,674.3452779802017
WRS2-124042-02762,0.3870741128921509,CHN1229,536.3024116862315
WRS2-124042-11778,0.4240217506885529,CHN1230,677.8369218152332
WRS2-124042-15339,0.6481258273124695,CHN1013,517.1113285836067
WRS2-124042-16833,0.8704445362091064,CHN0371,566.0031790493242
WRS2-124042-17773,0.7813737392425537,CHN0033,430.83601242467813
WRS2-124043-04416,0.4221037328243256,CHN0146,551.937132632394
WRS2-124044-18545,0.6568663716316223,CHN0901,524.1355796827157
WRS2-124045-01798,0.3766637444496155,CHN0194,444.53415517558653
WRS2-124045-05340,0.3849080801010132,CHN1107,473.72641775066717
WRS2-124045-06868,0.4137466847896576,CHN0024,271.018377217025
WRS2-124047-09515,0.23895223438739774,CHN0703,440.1521620249104
WRS2-124047-10536,0.936227023601532,CHN1133,405.0717768430747
WRS2-124047-10536,0.936227023601532,CHN0201,436.1954123145529
WRS2-125032-09243,0.21846918761730194,CHN0412,768.5032737531842
WRS2-125032-09243,0.21846918761730194,CHN0917,717.0774951167493
WRS2-125032-16433,0.3681922554969788,CHN1266,437.94794389006853
WRS2-125033-01146,0.16009339690208435,CHN0434,679.766117938148
WRS2-125034-04857,0.963428556919098,CHN1146,156.98229571159123
WRS2-125034-18192,0.23769375681877136,CHN0433,15.074472189564
WRS2-125037-18310,0.4590442478656769,CHN1114,383.3307215004936
WRS2-125038-04861,0.3233402967453003,CHN0930,756.3261394611343
WRS2-125038-12637,0.13999050855636594,CHN0977,672.1543678610044
WRS2-125038-13769,0.07250351458787918,CHN0982,473.63577981594295
WRS2-127032-11751,0.13876187801361084,CHN0874,624.3454528166795
WRS2-127035-02882,0.4262899160385132,CHN0626,858.163565586637
WRS2-127035-08116,0.6863295435905457,CHN0620,435.8725702095156
WRS2-127035-08116,0.6863295435905457,CHN1137,435.9742128661674
WRS2-127036-18662,0.4873285591602325,CHN0620,397.99460987400175
WRS2-127036-18662,0.4873285591602325,CHN1137,387.3530469162839
WRS2-128036-01420,0.7674004435539246,CHN0586,650.8773835116396
WRS2-128036-14359,0.217246487736702,CHN0410,488.68029361618153
