tile_id,steel_prob,steel_uid,dist_m
WRS2-128042-17858,0.13736651837825775,CHN0076,586.80882775293
WRS2-129043-03628,0.4641357362270355,CHN0187,465.1083278297216
WRS2-129043-13381,0.7572457194328308,CHN0072,662.161552557521
WRS2-130039-16946,0.17907646298408508,CHN0047,349.62274250246134
WRS2-130040-12093,0.09264295548200607,CHN0047,688.5388298161305
WRS2-130041-06377,0.7051712274551392,CHN0061,579.4138392925508
WRS2-130042-02494,0.8461096882820129,CHN0072,157.76981834778672
WRS2-130042-04088,0.7499812841415405,CHN0075,472.87581495070344
WRS2-130043-02733,0.46993634104728704,CHN0072,616.7597890906741
WRS2-130043-05006,0.8682683706283569,CHN0071,497.82407157492537
WRS2-130043-09074,0.8302400708198547,CHN0187,678.8527773856806
WRS2-135032-01316,0.9205514788627625,CHN0033,642.1013012971514
