scene_id,tile_cnt_sg1,tile_cnt_sg2
MGRS-46TCK,0,0
MGRS-46TCL,365,11
MGRS-46TCM,49,7
MGRS-46TCN,69,7
MGRS-46TCP,0,0
MGRS-46TCQ,10,0
MGRS-46TCR,30,0
MGRS-46TCS,272,2
MGRS-46TCT,0,58
MGRS-46TDL,39,3
MGRS-46TDM,406,8
MGRS-46TDN,369,36
MGRS-46TEK,52,0
MGRS-46TEM,357,22
MGRS-46TEN,565,1
MGRS-46TFK,584,14
MGRS-46TFL,159,97
MGRS-46TFM,599,23
MGRS-46TFN,460,23
MGRS-46TFP,360,0
MGRS-46TGK,358,6
MGRS-46TGL,480,16
MGRS-46TGM,8,0
MGRS-46TGN,197,277
MGRS-46TGP,6,0
MGRS-47QLG,3,112
MGRS-47QMF,129,0
MGRS-47QMG,0,0
MGRS-47QND,0,0
MGRS-47QNE,0,0
MGRS-47QNF,502,0
MGRS-47QNG,435,0
MGRS-47QPD,138,7
MGRS-47QPE,828,0
MGRS-47QPF,1004,38
MGRS-47QPG,1069,0
MGRS-47QQD,229,9
MGRS-47QQE,209,432
MGRS-47QQF,287,42
MGRS-47QQG,965,6
MGRS-47QRE,35,0
MGRS-47QRF,961,0
MGRS-47QRG,598,8
MGRS-47RKM,0,0
MGRS-47RKN,780,0
MGRS-47RKP,0,0
MGRS-47RKQ,383,3
MGRS-47RLH,379,6
MGRS-47RLM,0,0
MGRS-47RLN,0,0
MGRS-47RLP,0,0
MGRS-47RLQ,6,3
MGRS-47RMH,757,0
MGRS-47RMJ,654,0
MGRS-47RMK,0,0
MGRS-47RML,0,0
MGRS-47RMM,589,0
MGRS-47RMN,821,0
MGRS-47RMP,737,0
MGRS-47RMQ,0,0
MGRS-47RNH,0,0
MGRS-47RNJ,207,0
MGRS-47RNK,26,498
MGRS-47RNL,0,0
MGRS-47RNM,0,0
MGRS-47RNN,0,0
MGRS-47RNP,86,17
MGRS-47RNQ,0,0
MGRS-47RPH,0,0
MGRS-47RPJ,987,0
MGRS-47RPK,754,0
MGRS-47RPL,614,267
MGRS-47RPM,498,308
MGRS-47RPN,39,0
MGRS-47RPP,169,0
MGRS-47RPQ,0,0
MGRS-47RQH,1087,100
MGRS-47RQJ,723,8
MGRS-47RQK,954,8
MGRS-47RQL,746,0
MGRS-47RQM,874,0
MGRS-47RQN,0,0
MGRS-47RQP,607,0
MGRS-47RQQ,502,0
MGRS-47RRH,879,128
MGRS-47RRJ,623,2
MGRS-47SKA,275,13
MGRS-47SKB,611,1
MGRS-47SKC,142,10
MGRS-47SKD,69,0
MGRS-47SKR,866,7
MGRS-47SKS,762,96
MGRS-47SKT,791,1
MGRS-47SKU,749,0
MGRS-47SKV,17,750
MGRS-47SLA,88,96
MGRS-47SLB,435,9
MGRS-47SLC,0,0
MGRS-47SLD,54,21
MGRS-47SLR,136,16
MGRS-47SLS,221,174
MGRS-47SLT,489,100
MGRS-47SLU,611,28
MGRS-47SLV,373,51
MGRS-47SMA,270,14
MGRS-47SMB,223,98
MGRS-47SMC,297,0
MGRS-47SMD,642,45
MGRS-47SMR,0,0
MGRS-47SMS,0,0
MGRS-47SMT,396,0
MGRS-47SMU,41,13
MGRS-47SMV,252,53
MGRS-47SNA,0,0
MGRS-47SNB,511,33
MGRS-47SNC,0,0
MGRS-47SND,180,12
MGRS-47SNR,517,254
MGRS-47SNS,524,101
MGRS-47SNT,407,10
MGRS-47SNU,465,42
MGRS-47SNV,173,25
MGRS-47SPA,205,89
MGRS-47SPB,772,77
MGRS-47SPC,407,25
MGRS-47SPD,396,2
MGRS-47SPR,749,0
MGRS-47SPS,652,151
MGRS-47SPT,85,498
MGRS-47SPU,602,57
MGRS-47SPV,555,10
MGRS-47SQA,634,20
MGRS-47SQB,727,19
MGRS-47SQC,632,6
MGRS-47SQD,90,2
MGRS-47SQR,718,15
MGRS-47SQS,779,88
MGRS-47SQT,792,15
MGRS-47SQU,566,18
MGRS-47SQV,441,0
MGRS-47TKE,344,3
MGRS-47TKF,456,0
MGRS-47TKG,11,0
MGRS-47TLE,292,14
MGRS-47TLF,29,0
MGRS-47TLG,297,64
MGRS-47TLH,50,8
MGRS-47TME,498,37
MGRS-47TMF,3,0
MGRS-47TMG,62,12
MGRS-47TNE,410,10
MGRS-47TNF,120,15
MGRS-47TNG,529,139
MGRS-47TPF,0,0
MGRS-47TPG,90,14
MGRS-47TPH,0,0
MGRS-47TQG,0,177
MGRS-47TQH,0,22
MGRS-48QTK,85,0
MGRS-48QTL,966,0
MGRS-48QTM,638,0
MGRS-48QUK,57,0
MGRS-48QUL,0,0
MGRS-48QUM,673,0
MGRS-48QVK,0,0
MGRS-48QVL,0,0
MGRS-48QVM,730,0
MGRS-48QWL,0,0
MGRS-48QWM,6,1
MGRS-48QXK,350,0
MGRS-48QXL,0,0
MGRS-48QXM,89,0
MGRS-48QYJ,0,0
MGRS-48QYK,43,0
MGRS-48QYL,0,0
MGRS-48QYM,0,0
MGRS-48QZF,192,0
MGRS-48QZG,224,0
MGRS-48QZJ,0,0
MGRS-48QZK,0,0
MGRS-48QZL,0,0
MGRS-48QZM,696,0
MGRS-48RTN,970,111
MGRS-48RTP,624,30
MGRS-48RTQ,499,498
MGRS-48RTR,224,637
MGRS-48RTS,32,6
MGRS-48RTT,684,0
MGRS-48RTU,723,0
MGRS-48RTV,0,0
MGRS-48RUN,980,0
MGRS-48RUP,0,0
MGRS-48RUQ,839,18
MGRS-48RUR,361,522
MGRS-48RUS,886,67
MGRS-48RUT,745,234
MGRS-48RUU,606,546
MGRS-48RUV,867,31
MGRS-48RVN,380,617
MGRS-48RVP,193,820
MGRS-48RVQ,1089,60
MGRS-48RVR,1016,17
MGRS-48RVS,1211,0
MGRS-48RVT,7,0
MGRS-48RVU,185,33
MGRS-48RVV,516,0
MGRS-48RWN,1030,0
MGRS-48RWP,945,11
MGRS-48RWQ,1121,85
MGRS-48RWR,610,17
MGRS-48RWS,564,48
MGRS-48RWT,372,56
MGRS-48RWU,118,38
MGRS-48RWV,0,0
MGRS-48RXN,0,0
MGRS-48RXP,857,27
MGRS-48RXQ,1189,46
MGRS-48RXR,1,952
MGRS-48RXS,1058,10
MGRS-48RXT,1225,47
MGRS-48RXU,1262,37
MGRS-48RXV,1007,75
MGRS-48RYN,0,0
MGRS-48RYP,242,0
MGRS-48RYQ,513,0
MGRS-48RYR,254,0
MGRS-48RYS,58,876
MGRS-48RYT,900,24
MGRS-48RYU,1122,15
MGRS-48RYV,1264,31
MGRS-48RZN,812,0
MGRS-48RZP,4,506
MGRS-48STA,251,16
MGRS-48STB,406,36
MGRS-48STC,533,9
MGRS-48STD,438,8
MGRS-48STE,214,17
MGRS-48STF,159,20
MGRS-48STG,692,48
MGRS-48STH,50,0
MGRS-48STJ,4,35
MGRS-48SUA,690,2
MGRS-48SUB,548,106
MGRS-48SUC,0,0
MGRS-48SUD,57,24
MGRS-48SUE,805,32
MGRS-48SUF,847,39
MGRS-48SUG,508,46
MGRS-48SUH,92,0
MGRS-48SUJ,0,0
MGRS-48SVA,991,24
MGRS-48SVB,635,175
MGRS-48SVC,372,11
MGRS-48SVD,223,38
MGRS-48SVE,101,54
MGRS-48SVF,1068,40
MGRS-48SVG,8,5
MGRS-48SWA,1201,37
MGRS-48SWB,1091,1
MGRS-48SWC,951,4
MGRS-48SWD,1130,1
MGRS-48SWE,487,13
MGRS-48SWF,260,112
MGRS-48SWG,572,184
MGRS-48SWH,303,26
MGRS-48SWJ,169,23
MGRS-48SXA,638,149
MGRS-48SXB,474,96
MGRS-48SXC,272,59
MGRS-48SXD,226,31
MGRS-48SXE,760,68
MGRS-48SXF,10,1
MGRS-48SXG,647,66
MGRS-48SXH,868,25
MGRS-48SXJ,982,34
MGRS-48SYA,1263,9
MGRS-48SYB,1055,85
MGRS-48SYC,1148,14
MGRS-48SYD,1007,12
MGRS-48SYE,539,151
MGRS-48SYF,358,13
MGRS-48SYG,166,241
MGRS-48SYH,71,4
MGRS-48SYJ,322,0
MGRS-48TTM,0,182
MGRS-48TUL,0,0
MGRS-48TUM,71,8
MGRS-48TVL,0,241
MGRS-48TWK,0,0
MGRS-48TWL,81,4
MGRS-48TXK,440,14
MGRS-48TXL,332,30
MGRS-48TXM,0,0
MGRS-48TXN,0,0
MGRS-48TYK,0,0
MGRS-48TYL,560,1
MGRS-48TYM,121,209
MGRS-48TYN,55,0
MGRS-49QBA,458,0
MGRS-49QBB,501,27
MGRS-49QBD,0,0
MGRS-49QBE,0,0
MGRS-49QBF,0,0
MGRS-49QBG,746,0
MGRS-49QCA,0,0
MGRS-49QCB,1204,41
MGRS-49QCC,280,47
MGRS-49QCD,0,0
MGRS-49QCE,0,0
MGRS-49QCF,0,0
MGRS-49QCG,974,0
MGRS-49QDA,0,0
MGRS-49QDB,14,6
MGRS-49QDC,395,0
MGRS-49QDD,704,0
MGRS-49QDE,0,0
MGRS-49QDF,0,0
MGRS-49QDG,16,0
MGRS-49QEB,23,9
MGRS-49QED,180,0
MGRS-49QEE,557,0
MGRS-49QEF,0,0
MGRS-49QEG,0,0
MGRS-49QFD,15,0
MGRS-49QFE,0,0
MGRS-49QFF,0,0
MGRS-49QFG,0,0
MGRS-49QGE,0,0
MGRS-49QGF,0,0
MGRS-49QGG,0,0
MGRS-49QHE,0,0
MGRS-49QHF,0,0
MGRS-49QHG,0,0
MGRS-49RBH,871,0
MGRS-49RBJ,4,522
MGRS-49RBK,987,0
MGRS-49RBL,1020,0
MGRS-49RBM,810,151
MGRS-49RBN,634,109
MGRS-49RBP,1105,4
MGRS-49RBQ,1185,28
MGRS-49RCH,1215,0
MGRS-49RCJ,930,38
MGRS-49RCK,1011,0
MGRS-49RCL,1187,0
MGRS-49RCM,1070,0
MGRS-49RCN,37,10
MGRS-49RCP,221,24
MGRS-49RCQ,392,0
MGRS-49RDH,9,0
MGRS-49RDJ,417,0
MGRS-49RDK,58,578
MGRS-49RDL,1090,113
MGRS-49RDM,1106,20
MGRS-49RDN,288,0
MGRS-49RDP,58,15
MGRS-49RDQ,782,0
MGRS-49REH,0,0
MGRS-49REJ,0,0
MGRS-49REK,1097,0
MGRS-49REL,1237,0
MGRS-49REM,206,0
MGRS-49REN,487,24
MGRS-49REP,1138,34
MGRS-49REQ,750,223
MGRS-49RFH,0,0
MGRS-49RFJ,0,0
MGRS-49RFK,461,37
MGRS-49RFL,1185,36
MGRS-49RFM,51,7
MGRS-49RFN,1109,50
MGRS-49RFP,1080,9
MGRS-49RFQ,8,0
MGRS-49RGH,0,0
MGRS-49RGJ,18,9
MGRS-49RGK,215,940
MGRS-49RGL,418,555
MGRS-49RGM,1056,68
MGRS-49RGN,788,199
MGRS-49RGP,651,431
MGRS-49RGQ,1211,3
MGRS-49RHH,0,0
MGRS-49RHJ,139,0
MGRS-49SBA,539,14
MGRS-49SBB,265,94
MGRS-49SBC,230,153
MGRS-49SBD,295,3
MGRS-49SBR,1125,12
MGRS-49SBS,1066,140
MGRS-49SBT,28,0
MGRS-49SBU,211,343
MGRS-49SBV,503,31
MGRS-49SCA,0,713
MGRS-49SCB,828,15
MGRS-49SCC,353,595
MGRS-49SCD,738,5
MGRS-49SCR,729,30
MGRS-49SCS,890,154
MGRS-49SCT,396,555
MGRS-49SCU,1205,36
MGRS-49SCV,36,607
MGRS-49SDA,651,3
MGRS-49SDB,956,36
MGRS-49SDC,248,544
MGRS-49SDD,92,16
MGRS-49SDR,861,0
MGRS-49SDS,77,21
MGRS-49SDT,262,21
MGRS-49SDU,588,72
MGRS-49SDV,792,70
MGRS-49SEA,34,3
MGRS-49SEB,221,28
MGRS-49SEC,449,339
MGRS-49SED,813,230
MGRS-49SER,582,34
MGRS-49SES,388,113
MGRS-49SET,156,17
MGRS-49SEU,902,70
MGRS-49SEV,711,91
MGRS-49SFA,539,38
MGRS-49SFB,212,46
MGRS-49SFC,112,37
MGRS-49SFD,1,0
MGRS-49SFR,857,11
MGRS-49SFS,1044,235
MGRS-49SFT,1051,14
MGRS-49SFU,966,52
MGRS-49SFV,938,69
MGRS-49SGA,368,733
MGRS-49SGB,676,26
MGRS-49SGC,979,16
MGRS-49SGD,487,7
MGRS-49SGR,1063,1
MGRS-49SGS,35,5
MGRS-49SGT,1252,34
MGRS-49SGU,1,1
MGRS-49SGV,51,355
MGRS-49TBE,0,0
MGRS-49TBF,605,0
MGRS-49TBG,116,215
MGRS-49TCE,793,77
MGRS-49TCF,556,19
MGRS-49TCG,58,13
MGRS-49TDE,1175,7
MGRS-49TDF,146,21
MGRS-49TDG,257,17
MGRS-49TDH,15,0
MGRS-49TEE,611,31
MGRS-49TEF,302,232
MGRS-49TEG,0,0
MGRS-49TEH,0,0
MGRS-49TEJ,0,0
MGRS-49TFE,132,12
MGRS-49TFF,610,19
MGRS-49TFG,145,158
MGRS-49TFH,393,39
MGRS-49TFJ,498,9
MGRS-49TGE,524,99
MGRS-49TGF,597,0
MGRS-49TGG,405,0
MGRS-49TGJ,93,23
MGRS-49TGK,0,0
MGRS-50QKK,0,0
MGRS-50QKL,0,0
MGRS-50QKM,0,0
MGRS-50QLL,0,0
MGRS-50QLM,0,0
MGRS-50QML,1,1
MGRS-50QMM,39,1019
MGRS-50QNM,514,0
MGRS-50QPM,13,0
MGRS-50RKN,0,0
MGRS-50RKP,151,0
MGRS-50RKQ,0,0
MGRS-50RKR,1182,0
MGRS-50RKS,1125,80
MGRS-50RKT,1120,0
MGRS-50RKU,1130,0
MGRS-50RKV,667,541
MGRS-50RLN,0,0
MGRS-50RLP,0,0
MGRS-50RLQ,797,0
MGRS-50RLR,696,404
MGRS-50RLS,27,1059
MGRS-50RLT,96,924
MGRS-50RLU,0,0
MGRS-50RLV,0,0
MGRS-50RMN,0,0
MGRS-50RMP,0,0
MGRS-50RMQ,0,0
MGRS-50RMR,30,0
MGRS-50RMS,335,0
MGRS-50RMT,224,0
MGRS-50RMU,0,0
MGRS-50RMV,0,0
MGRS-50RNN,0,0
MGRS-50RNP,0,0
MGRS-50RNQ,385,0
MGRS-50RNR,0,0
MGRS-50RNS,1200,0
MGRS-50RNT,0,0
MGRS-50RNU,90,0
MGRS-50RNV,36,957
MGRS-50RPN,879,0
MGRS-50RPP,0,0
MGRS-50RPQ,0,0
MGRS-50RPR,0,0
