index,area_sqkm_tot,area_sqkm_sg1,area_sqkm_sg2
388,351.0185908734259,351.0185908734259,0.0
389,583.5018379438933,583.5018379438933,0.0
390,583.1562248470904,583.1562248470904,0.0
391,583.501837943837,582.8239301957558,0.7423972340837001
392,351.43293249955934,351.43293249955934,0.0
393,1591.24210697789,1591.2421069508216,0.0
394,351.84932304011863,351.84932304011863,0.0
395,1044.0514011286693,749.4344296510666,294.85462488372576
396,584.1944913980385,0.0,0.0
397,351.8493230401216,351.8493230401216,0.0
398,352.2677722264856,352.2677722264856,0.0
399,584.5415304167507,584.5415304167507,0.0
400,2422.2430821952266,2422.2430821947364,0.0
401,1669.3490890943378,1669.3490890942976,0.0
402,352.26777222651117,352.26777222651117,0.0
403,1275.049523203293,0.0,0.0
404,352.26777222648064,0.0,0.0
405,1128.3799798847729,146.95808549813697,0.07866512406059531
406,814.9209337652737,0.0,0.0
407,352.2677722264838,352.2677722264838,0.0
408,352.6882898642908,305.89567115928315,0.10303167829948373
409,352.6882898642905,352.6882898642905,0.0
410,352.688289864291,352.688289864291,0.0
411,975.8286621230786,975.8286621230764,0.0
412,3530.747684572544,566.5485923856743,0.0
413,2585.48609808471,2585.486098083551,0.0
414,353.11088583413687,353.1108858163675,0.0
415,353.1108858341669,353.1108858341669,0.0
416,3917.197057815078,881.0863477276213,3037.8696112299094
417,353.5355700921343,353.5355700919954,0.0
418,2825.51098198508,2442.8533955511193,0.17803309824872626
419,353.53557009210334,0.0,0.0
420,586.645272474576,256.4745560958353,0.13557972503419416
421,353.535570092136,353.53557009196004,0.0
422,5860.07196795355,3109.533126324478,42.94818287017244
423,587.709450063366,587.709450063366,0.0
424,353.9623526705499,353.9623526705499,0.0
425,587.3534614408603,0.0,0.0
426,820.7445702111921,820.7445702111921,0.0
427,4092.3658062192576,932.4639554613733,0.25376407945907903
428,2516.6394521629168,2516.6394521629168,0.0
429,1980.7690973334834,0.0,0.0
430,1983.9404233732205,1983.9404233732205,0.0
431,2064.9698706512013,1398.0548523961593,0.25471792749919897
432,354.8222533029304,0.0,0.0
433,12336.617682766371,9340.446549707243,20.092015216108056
434,354.82225330295523,0.0,0.0
435,8533.194954947308,8388.821469561888,145.35402621436467
436,354.82225330296035,354.82225330296035,0.0
437,354.8222533029605,0.0,355.0995432180039
438,355.2553918086952,0.0,355.53302263289703
439,669.7348841637545,669.7348841637545,0.0
440,590.22137358009,0.0,590.499589046769
441,355.6906695397901,355.6906695397901,0.0
