tile_id,scene_cloud_pnt,scene_group,max_cloud_cover,steel_prob,steel_uid,dist_m
MGRS-50TLL-0650,0.265437,1,5,0.03804412856698036,CHN0018,2290.661491708143
MGRS-50TPK-0407,0.17594200000000002,1,5,0.1664668470621109,CHN0037,1860.6869425482887
MGRS-50TPK-0716,0.17594200000000002,1,5,0.450959324836731,CHN0216,1674.8540615202185
MGRS-50TPK-0749,0.17594200000000002,1,5,0.14750169217586515,CHN0215,1660.7093662720558
MGRS-50TPK-0955,0.17594200000000002,1,5,0.05503378063440323,CHN0213,2260.180579402539
MGRS-50TPK-1063,0.17594200000000002,1,5,0.11858959496021272,CHN0032,1044.9164064128697
MGRS-50TPL-0078,0.191376,1,5,0.14886486530303955,CHN0001,2012.7934850028028
MGRS-50TQK-0568,0.15147900581359866,1,5,0.8248314261436462,CHN0034,786.865664376079
MGRS-50TQL-0293,0.12772,1,5,0.919829249382019,CHN0001,986.8249912401471
MGRS-50TQM-0572,0.095926,1,5,0.031762603670358665,CHN0017,1934.9036292798812
MGRS-51RTQ-0719,1.3170030000000001,1,5,0.06645671278238298,CHN0058,2094.559210603037
MGRS-51RTQ-0957,1.3170030000000001,1,5,0.6820657253265381,CHN0056,1337.2423751691047
MGRS-51RUQ-0185,1.399205,1,5,0.5201556086540222,CHN0105,2083.7047297717268
MGRS-51RUQ-0215,1.399205,1,5,0.09620384871959686,CHN0178,1119.639176069462
MGRS-51RUQ-0272,1.399205,1,5,0.07283100485801698,CHN0104,1683.402487629821
MGRS-51STA-0872,0.4868960082530975,1,5,0.8318268656730652,CHN0092,591.7055447438165
MGRS-51STR-0463,1.568878,1,5,0.544780433177948,CHN0232,970.0242989635217
MGRS-51STR-0599,1.568878,1,5,0.8333134055137634,CHN0118,810.6144635025727
MGRS-51STR-0600,1.568878,1,5,0.930791676044464,CHN0119,1671.50684070125
MGRS-51STR-0625,1.568878,1,5,0.3105317950248718,CHN0116,1350.037584032735
MGRS-51STR-0782,1.568878,1,5,0.9790347814559937,CHN0114,563.9106303753224
MGRS-51STR-0782,1.568878,1,5,0.9790347814559937,CHN0208,501.304886791836
MGRS-51STR-0941,1.568878,1,5,0.9725319147109984,CHN0106,485.48403342272144
MGRS-51STR-0941,1.568878,1,5,0.9725319147109984,CHN0107,546.3038066975473
MGRS-51SUB-0189,0.21279500424861908,1,5,0.7757335901260376,CHN0332,477.32324153356177
MGRS-51SVD-0500,0.1746309995651245,1,5,0.3981606662273407,CHN0019,731.1138573557389
MGRS-51TTE-0565,0.10691100358963013,1,5,0.902812123298645,CHN0034,605.3799926297404
MGRS-51TTG-0630,0.095849,1,5,0.1912009567022324,CHN0017,1975.4612091329802
MGRS-51TVE-0339,0.3216849863529205,1,5,0.9948402047157288,CHN0020,1213.9991919460235
MGRS-51TVF-0501,0.6172980070114136,1,5,0.16916155815124512,CHN0003,2209.42770328033
MGRS-51TVF-0538,0.6172980070114136,1,5,0.6424543261528015,CHN0007,2151.487940002758
MGRS-51TVF-1055,0.6172980070114136,1,5,0.9688868522644044,CHN0008,744.1143248906415
MGRS-51TYH-0094,0.08225599676370621,1,5,0.4086407721042633,CHN0013,937.5063771129611
MGRS-52TET-0264,0.202199,1,5,0.6323308944702148,CHN0028,1484.1223505614616
MGRS-52TFS-0364,0.169479,1,5,0.7522484064102173,CHN0015,1938.562338455987
MGRS-49RGL-0171,4.343833923339844,2,5,0.16118693351745605,CHN0062,1697.2177329317717
MGRS-49SGA-0150,0.4844140112400055,2,5,0.8618928790092468,CHN0097,1927.3629912109425
MGRS-49SGA-0259,0.4844140112400055,2,5,0.8627439737319946,CHN0239,854.8629409484063
MGRS-49SGA-0259,0.4844140112400055,2,5,0.8627439737319946,CHN0242,1786.3226893260828
MGRS-49SGA-0263,0.4844140112400055,2,5,0.7843684554100037,CHN0240,879.4070200218576
MGRS-49SGA-0263,0.4844140112400055,2,5,0.7843684554100037,CHN0241,879.4070200218576
MGRS-49SGA-0672,0.4844140112400055,2,5,0.1932523101568222,CHN0091,1789.9345076713169
MGRS-49SGA-0701,0.4844140112400055,2,5,0.602418065071106,CHN0090,1670.4265654985852
MGRS-50RLS-0258,4.944232,2,5,0.4130302667617798,CHN0045,1242.724963557264
MGRS-50SNF-0678,0.7280770000000001,2,5,0.0625360757112503,CHN0094,1744.3415113632104
MGRS-50SNF-0746,0.7280770000000001,2,5,0.8870870471000671,CHN0093,437.2703269476209
MGRS-50SQD-0004,1.606275,2,5,0.2861471176147461,CHN0235,1839.7693272725298
MGRS-50SQD-0022,1.606275,2,5,0.5842613577842712,CHN0085,1646.211100227647
MGRS-50TNK-0088,0.27666799999999997,2,5,0.0401972271502018,CHN0038,1872.479607841149
MGRS-50TNK-0301,0.27666799999999997,2,5,0.5787368416786194,CHN0036,940.8969291365232
MGRS-50TNK-0301,0.27666799999999997,2,5,0.5787368416786194,CHN0217,876.4128352931082
MGRS-51RTQ-0034,1.5949879884719849,2,5,0.3409911096096039,CHN0056,1337.2423751691047
MGRS-51TWF-0275,0.18051700294017792,2,5,0.17676211893558502,CHN0006,1901.9975092115092
MGRS-51TWF-0363,0.18051700294017792,2,5,0.4722713828086853,CHN0002,1665.105313608634
MGRS-52TCP-0160,0.556886,2,5,0.7325952053070068,CHN0009,1444.229863473999
