,uid,featureId,geometry,acquisitionDate,acquisitionTime,sensorType,source,sourceUnit,productType,CE90Accuracy,RMSEAccuracy,cloudCover,offNadirAngle,sunElevation,sunAzimuth,groundSampleDistance,groundSampleDistanceUnit,dataLayer,legacyDescription,outputMosaic,colorBandOrder,assetName,assetType,legacyId,factoryOrderNumber,perPixelX,perPixelY,crsFromPixels,url,ageDays,formattedDate,ingestDate,spatialAccuracy,earliestAcquisitionDate,latestAcquisitionDate,pixelsIngested,preciseGeometry,vendorName,vendorReference,companyName,acquisitionType,orbitDirection,licenseType,isBrowse,isMirrored,isMultipleWKB,copyright,beamMode,polarisationMode,polarisationChannel,antennaLookDirection,niirs,tagsAsString,bbox
0,USA0022,142bbca1cef5606aef597009f9e590d5,None,2020-03-03 15:35:28,1535,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.045591243,23.097757,36.6549,157.31395,0.50,Meter,daily_take,AOI4_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100A45E7F00,012135040-10,4.5E-6,-4.5E-6,EPSG:4326,None,401,2020-03-03,2020-03-03 21:24:37,"1:12,000",2020-03-03 15:35:28,2020-03-03 15:35:28,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.9,None,"44.0796961687901,-69.16349004829044,44.08885347437434,-69.15078595170955"
0,USA0024,4800f2678ced067464e30f61bfde039a,None,2020-11-08 18:46:53,1846,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.34197918,21.190939,37.65869,166.01102,0.50,Meter,daily_take,AOI4_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100AE6A6700,013333940-10,4.5E-6,-4.5E-6,EPSG:4326,None,150,2020-11-08,2020-11-08 22:59:05,"1:12,000",2020-11-08 18:46:53,2020-11-08 18:46:53,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.9,None,"34.60285887236256,-117.34272504829043,34.613362792410186,-117.33002095170954"
0,USA0027,93a311e6a6f7eac08dbf066e4b24514a,None,2020-12-28 18:16:03,1816,None,GE01,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.12282693,21.653456,32.29476,160.87534,0.40,Meter,daily_take,AOI4_L3_GE1,false,RGB,FINISHED,PRODUCT_GEOMETRY,1050010021A07000,013543766-10,3.6E-6,-3.6E-6,EPSG:4326,None,100,2020-12-28,2020-12-28 21:45:25,"1:12,000",2020-12-28 18:16:23,2020-12-28 18:16:23,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,5.0,None,"32.40472546776278,-111.15810304829046,32.41550220744279,-111.14539895170957"
0,USA0028,9ff00363f76b1e4c39dc2801a802e22c,None,2021-01-01 17:24:36,1724,None,GE01,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,7.7854336E-4,5.454245,34.900764,159.50665,0.40,Meter,daily_take,AOI4_L3_GE1,false,RGB,FINISHED,PRODUCT_GEOMETRY,1050010021AE9C00,013558387-10,3.6E-6,-3.6E-6,EPSG:4326,None,97,2021-01-01,2021-01-01 21:53:25,"1:12,000",2021-01-01 17:24:52,2021-01-01 17:24:52,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2021 DigitalGlobe Inc,None,None,None,None,5.2,None,"29.541386683321846,-98.42731804829046,29.552495008378177,-98.41461395170955"
0,USA0032,20dd77058d8a87671fb764c7addf9594,None,2020-05-04 15:54:27,1554,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.0,25.682896,64.89107,126.02722,0.50,Meter,daily_take,AOI4_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100A5182500,012469711-10,4.5E-6,-4.5E-6,EPSG:4326,None,339,2020-05-04,2020-05-04 20:49:45,"1:12,000",2020-05-04 15:54:36,2020-05-04 15:54:36,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.8,None,"33.220937205118766,-80.45873004829043,33.23161446598274,-80.44602595170954"
0,USA0034,1c5a4fdc51b53c53ea7e5448816c770d,None,2020-10-30 16:01:01,1601,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.0,21.187447,44.95028,154.7684,0.50,Meter,daily_take,AOI4_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100AD145700,013284290-10,4.5E-6,-4.5E-6,EPSG:4326,None,160,2020-10-30,2020-10-30 21:26:31,"1:12,000",2020-10-30 16:01:01,2020-10-30 16:01:01,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.9,None,"27.93015846718199,-82.44855404829043,27.941441235191526,-82.43584995170954"
0,USA0041,9b2a16758113139404bb46dca04981eb,None,2020-12-18 15:54:10,1554,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,7.231978E-4,26.858112,36.772232,155.64977,0.50,Meter,daily_take,AOI4_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100B0025900,013504928-10,4.5E-6,-4.5E-6,EPSG:4326,None,111,2020-12-18,2020-12-18 17:33:05,"1:12,000",2020-12-18 15:54:10,2020-12-18 15:54:10,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.8,None,"25.78016805898092,-80.42657904829045,25.791669659127475,-80.41387495170954"
0,USA0044,4800f2678ced067464e30f61bfde039a,None,2020-11-08 18:46:53,1846,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.34197918,21.190939,37.65869,166.01102,0.50,Meter,daily_take,AOI4_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100AE6A6700,013333940-10,4.5E-6,-4.5E-6,EPSG:4326,None,150,2020-11-08,2020-11-08 22:59:05,"1:12,000",2020-11-08 18:46:53,2020-11-08 18:46:53,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.9,None,"34.54845440248502,-117.30942004829043,34.558965262521994,-117.29671595170956"
0,USA0046,08ae022fd103ca07a84815826ccb1470,None,2020-09-18 16:48:31,1648,None,WV03_VNIR,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.0027910913,19.397522,51.75879,160.01578,0.30,Meter,daily_take,AOI4_L3_WV3,false,RGB,FINISHED,PRODUCT_GEOMETRY,104001006056FC00,013083246-10,2.7E-6,-2.7E-6,EPSG:4326,None,202,2020-09-18,2020-09-18 20:19:51,"1:12,000",2020-09-18 16:48:31,2020-09-18 16:48:31,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,5.6,None,"38.0306688639064,-85.91272604829042,38.040716788605856,-85.90002195170955"
0,USA0052,295184f05efbe63e7480ed9e031bc72a,None,2020-12-29 15:45:50,1545,None,WV02,Strip,Pan Sharpened Natural Color,8.4 meters,3.91 meters,0.08976509,20.717787,24.543049,160.53366,0.50,Meter,daily_take,AOI4_L3_WV2,false,RGB,FINISHED,PRODUCT_GEOMETRY,10300100B2B65A00,013547056-10,4.5E-6,-4.5E-6,EPSG:4326,None,100,2020-12-29,2020-12-29 17:17:35,"1:12,000",2020-12-29 15:45:50,2020-12-29 15:45:50,true,true,None,None,DigitalGlobe,None,None,None,false,false,false,Image Copyright 2020 DigitalGlobe Inc,None,None,None,None,4.9,None,"39.91203964349881,-75.13104404829043,39.92182200440922,-75.11833995170956"
