country,location_id,company_name,number_plants,number_blast_furnace,total_capacity,location_name,latitude,longitude,accuracy,uid
UNITED STATES,8000644,U.S. STEEL CORP.,10,0,5999,"MIDWEST PORTAGE, IN",41.627365,-87.172782,Exact,USA0148
UNITED STATES,8000645,U.S. STEEL CORP.,11,2,14840,"GRANITE CITY, IL",38.695798,-90.147033,Exact,USA0149
UNITED STATES,8000651,GERDAU,3,0,1900,"SAYREVILLE, NJ",40.477981,-74.321209,Exact,USA0150
UNITED STATES,8000662,ELLWOOD NATIONAL STEEL,4,0,395,"IRVINE, PA",41.8400884,-79.2702339,Exact,USA0151
UNITED STATES,8000671,NUCOR YAMATO STEEL,10,0,11080,"BLYTHEVILLE, AR",35.901077,-89.776707,Exact,USA0152
UNITED STATES,8000681,GATEWAY ENERGY AND COKE ,1,0,600,"GRANITE CITY, IL",38.6959898,-90.132122,Exact,USA0153
UNITED STATES,8000691,STERLING STEEL CO,5,0,4490,"STERLING, IL",47.286637,-91.262661,Exact,USA0154
UNITED STATES,8000701,NUCOR STEEL,5,0,3245,"DARLINGTON, SC",34.375972,-79.896851,Exact,USA0155
UNITED STATES,8000702,NUCOR STEEL,8,0,4110,"NORFOLK, NE",42.078418,-97.360903,Exact,USA0156
UNITED STATES,8000703,NUCOR STEEL,5,0,4060,"JEWETT, TX",31.350163,-96.165697,Exact,USA0157
UNITED STATES,8000704,NUCOR STEEL,5,0,2680,"PLYMOUTH, UT",41.883525,-112.198169,Exact,USA0158
UNITED STATES,8000705,NUCOR STEEL,15,0,10990,"CRAWFORDSVILLE, IN",39.977703,-86.830918,Exact,USA0159
UNITED STATES,8000707,NUCOR STEEL,14,0,14480,"HICKMAN-BLYTHEVILLE, AR",35.941151,-89.714447,Exact,USA0160
UNITED STATES,8000708,NUCOR STEEL,17,0,18470,"BERKELEY, SC",33.00509,-79.87883,Exact,USA0161
UNITED STATES,8000709,NUCOR STEEL,5,0,4000,"HERTFORD-COUNTY, NC",36.352022,-76.81269,Exact,USA0162
UNITED STATES,8000711,EVRAZ OREGON STEEL MILLS,1,0,1090,"PORTLAND, OR",45.628959,-122.78229,Exact,USA0163
UNITED STATES,8000721,HEIDTMAN STEEL PRODUTS INC,1,0,0,"GRANITE CITY, IL",38.7444366,-90.1337395,Exact,USA0164
UNITED STATES,8000723,HEIDTMAN STEEL PRODUTS INC,1,0,0,"CLEVELAND, OH",41.4646238,-81.664647,Exact,USA0165
UNITED STATES,8000731,PRO-TEC COATING CO,3,0,1510,"LEIPSIC, OH",41.117276,-83.965128,Exact,USA0166
UNITED STATES,8000741,EVRAZ CLAYMONT STEEL,3,0,1290,"CLAYMONT, DE-closed 2014",39.8094987,-75.447613,Exact,USA0167
UNITED STATES,8000741,EVRAZ CLAYMONT STEEL,3,0,1290,"CLAYMONT, DE-closed 2014",39.8006685,-75.4596404,Approximate,USA0168
UNITED STATES,8000751,GERDAU SPECIAL ST. NA,6,0,800,"JACKSON, MI",42.2028306,-84.3644195,Exact,USA0169
UNITED STATES,8000752,GERDAU SPECIAL ST. NA,7,0,2090,"FORT SMITH, AR",35.307004,-94.374035,Exact,USA0170
UNITED STATES,8000753,GERDAU SPECIAL ST. NA,4,0,2020,"MONROE, MI",41.894474,-83.359426,Exact,USA0171
UNITED STATES,8000762,GERDAU,1,0,800,"PERTH AMBOY, NJ",40.4784267,-74.3214197,Exact,USA0172
