uid_v3,uid_v4.1,latitude,longitude,reported_capacity,num_labelers,plant_type,production_type,plant_area_mean,plant_area_median,plant_area_max,kiln_area_mean,kiln_area_median,kiln_area_max
CHN0066,CHN0004,31.355912,121.517068,0.9,3,Grinding,Wet,81279.79038328498,69557.50099201468,121673.84489886512,0.0,0.0,0.0
CHN0067,CHN0017,31.479261,121.213155,1.85,3,Grinding,Wet,78117.90042188282,74004.27057555731,110046.09552778002,0.0,0.0,0.0
CHN0069,CHN0012,31.748599,116.331386,3.3,2,Grinding,Wet,240034.38125843648,240034.38125843648,245504.69024051877,0.0,0.0,0.0
CHN0070,CHN0019,31.76786,118.491851,3.8,3,Grinding,Wet,502393.61578003195,611192.2275771003,732857.1551059879,0.0,0.0,0.0
CHN0071,CHN0016,31.78915,121.102005,3.2,3,Grinding,Wet,212688.5825380887,248902.37954373375,257799.11217963588,0.0,0.0,0.0
CHN0073,CHN0023,32.004975,117.248183,1.8,3,Grinding,Wet,139780.59576590155,143699.15893320288,156587.37014595867,0.0,0.0,0.0
CHN0079,CHN1216,32.317452,119.825483,4.4,3,Grinding,Wet,372442.5714805103,462180.92444375134,483317.366769736,0.0,0.0,0.0
CHN0082,CHN0011,32.695577,116.748146,4.4,3,Grinding,Wet,121013.20063753347,121596.81390383534,147166.43196440677,0.0,0.0,0.0
CHN0083,CHN0005,32.923638,117.439757,2.4,3,Grinding,Wet,375337.3948278782,260246.21737380745,694946.5291037738,0.0,0.0,0.0
CHN0085,CHN0010,33.417669,119.042408,4.4,3,Grinding,Wet,561460.783170523,325116.66304296936,1112220.6309107984,0.0,0.0,0.0
CHN0086,CHN0030,33.596743,118.966544,1.65,3,Grinding,Wet,111329.10125897129,61306.57593489306,221964.38026836477,0.0,0.0,0.0
CHN0096,CHN0046,35.614648,117.442907,2.2,3,Integrated,Dry,437488.86825923633,405581.43099058565,769209.9792970972,318.38544122684124,316.4032962450137,345.15605333309054
CHN0098,CHN0509,28.618066,115.964109,0.65,2,Grinding,Wet,51620.917602324,51620.917602324,59125.90172969404,0.0,0.0,0.0
CHN0100,CHN0072,29.917936,115.420949,2.0,3,Grinding,Dry,302794.992877189,343135.12742479425,371865.1953975989,121.0051443648019,0.0,363.0154330944057
CHN0101,CHN1201,30.273756,114.32873,1.4,3,Grinding,Wet,68527.94410765877,72865.8312268411,79447.67308552584,0.0,0.0,0.0
CHN0102,CHN0760,30.60216,114.138749,2.3,3,Grinding,Wet,66440.24860649733,75857.81634802981,84670.36521582931,0.0,0.0,0.0
CHN0104,CHN0073,30.976399,103.908381,6.0,3,Grinding,Dry,430033.5745849147,503224.58841263095,555355.5888976008,300.4991494102418,0.0,901.4974482307254
CHN0105,CHN0776,32.268448,119.411291,3.0,3,Grinding,Wet,80491.58133265568,79363.0617531434,86679.8347248573,0.0,0.0,0.0
