uid,latitude,longitude,reported_capacity,num_labelers,plant_type,production_type,plant_area_mean,plant_area_median,plant_area_max,kiln_area_mean,kiln_area_median,kiln_area_max
CHN0681,23.053386,111.998378,2.0,3,Integrated,Dry,367257.55989906704,325880.40542441397,580591.3961038127,350.1336376053005,370.1022988287002,423.2131712325379
CHN0682,27.697284,113.825503,3.0,3,Integrated,Dry,327136.1425140329,332063.87461555947,355039.50874734466,571.0390136078641,563.4296769594266,605.3228538599712
CHN0683,34.621265,105.398662,,3,Integrated,Dry,348623.5679378693,286849.23136930366,474213.3422255716,521.2801119194941,473.36750890660164,666.8893971829614
CHN0684,42.712508,93.440587,,3,Integrated,Dry,5022075.088275364,588537.798867665,13908176.667431768,562.0377449066245,623.0924729940992,680.2217391924419
CHN0685,42.394365,86.309503,,3,Integrated,Dry,640484.9818752205,217823.105824687,1528283.5902365998,500.96591331526724,212.4391690017349,1101.6488988528506
CHN0686,35.480253,106.840563,,3,Integrated,Dry,204359.07554322787,154513.4808929212,315155.8918844005,384.81256995559454,271.1486511554637,666.8131322749017
CHN0687,43.94182,87.657838,,3,Integrated,Dry,398968.9672762569,356265.1419992493,493178.55348204134,486.86542841371033,526.7975756299787,600.4657698223882
CHN0688,31.482348,119.232616,,3,Integrated,Dry,257102.8410235263,227054.11787224826,348491.9791223859,303.45071437691865,349.890248652938,391.45304867366445
CHN0689,23.035191,111.98069,,3,Integrated,Dry,256854.84886964157,255626.71119137006,286394.18544818996,274.21359841775507,392.26675571373937,430.3740395395259
CHN0691,43.749069,87.583228,,3,Integrated,Dry,198329.09382497234,163639.25800001802,311137.7063019404,78.11689558750378,109.42788953633074,124.92279722618058
CHN0692,31.518947,117.752078,5.0,3,Integrated,Dry,410818.9715113758,413578.56722929375,418319.60319227056,863.9733001679737,843.5438607157205,939.819246776904
CHN0693,36.440268,101.602884,,3,Integrated,Dry,470191.94547276193,471081.4526620186,478065.320452106,524.1066003731239,476.0024165158395,669.6456968720435
CHN0694,27.963997,113.216266,2.0,3,Integrated,Dry,160839.23879594493,157788.57975120933,184087.84050241442,439.79167049587625,491.03181039539925,496.79236209345686
CHN0695,33.099215,106.992661,2.0,3,Integrated,Dry,334248.97251848504,340850.91050813615,487186.8813463747,468.27138129173227,481.77190792074873,545.0467587376174
CHN0696,29.311703,111.315189,1.0,3,Integrated,Dry,217644.63841007673,217769.66785802125,229437.02050902921,324.597281240925,340.58735120466326,379.9555437267395
CHN0697,27.983793,112.847056,2.0,3,Integrated,Dry,199508.49224837794,194659.82849683968,214602.65760640468,320.30259257682167,383.3513455892778,449.8183637515968
CHN0698,31.508528,119.587413,,3,Integrated,Dry,285200.55620887753,299468.7375669189,310929.81565952563,453.2142265838759,479.1112671861729,559.8381032132468
CHN0702,30.066305,111.478324,,3,Integrated,Dry,145166.88778922812,97962.95052966078,245084.13581089245,281.5752603389131,296.7841063044722,305.0836908633015
CHN0703,19.236266,108.943118,,3,Integrated,Dry,297932.1173343916,331072.75801770145,342583.693604783,558.5003150388343,451.1322137999312,775.7184098228281
CHN0704,34.393668,113.238298,,3,Integrated,Dry,219998.4982781573,216752.43540853044,229971.24720908588,444.5874453891144,449.0383779432533,543.8149347955036
CHN0705,28.584661,104.102491,,3,Integrated,Dry,106870.49759855447,104484.60656562891,115137.56630743964,217.8030601529904,210.34206513164338,276.9561829692663
CHN0706,36.581954,116.917226,,3,Integrated,Dry,320059.73892413714,228609.98596402002,577358.9720896146,507.85879177324585,512.5554401519412,570.1694086908032
CHN0708,36.035277,118.946918,,3,Integrated,Dry,377625.3921505136,355781.7177235699,468421.61287062423,472.9688301396312,502.81920300173266,604.6636616844719
CHN0709,36.675572,118.983956,,3,Integrated,Dry,292885.6000614808,282979.7978175496,347509.8127163298,271.77323521809694,263.194829220805,296.82949149841386
CHN0710,36.55831,116.855479,,3,Integrated,Dry,154090.70811719232,147246.2764531912,192344.04120605264,205.38606399629964,211.8271025483986,230.22427890071543
CHN0711,35.361077,116.375794,,3,Integrated,Dry,357016.60201333754,333410.7688878484,404412.4382624465,304.1452629600094,340.6276849954277,343.9503563108596
CHN0712,37.686461,120.830683,,3,Integrated,Dry,534972.3605971672,558872.9134216228,578481.168015023,326.1155100480235,303.87169251179756,393.5121035710103
