iso3,uid,country,pf_number_plants,pf_number_blast_furnace,pf_total_raw_production_capacity,Unnamed: 6,pf_owner,pf_location,status,latitude,longitude,source,accuracy,owner_permid,owner_name,reported_capacity,reported_production_start,owner_source,date_accessed,parent_permid,parent_name,ownership_stake,parent_permid.1,parent_name.1,ownership_stake.1,comment_ownership,rank,pop2020,GrowthRate
MYS,MYS0012,Malaysia,1.0,,,0.0,ANSHIN STEEL IND.,"SHAH ALAM, SELANGOR",Operating,3.063284,101.531871,PlantFacts,Exact,,,,,,,,,,,,,,,32365.999,0.013
MYS,MYS0013,Malaysia,4.0,,1250.0,1.0,AMSTEEL MILLS,"KLANG, SELANGOR",Operating,3.0716639999999997,101.45908100000001,PlantFacts,Exact,5000016393,Amsteel Mills Sdn Bhd,,,http://www.amsteel.com.my/Home/About,2020-07-24,4295883481.0,Lion Industries Corporation Bhd,,,,,,,32365.999,0.013
MYS,MYS0014,Malaysia,2.0,,,0.0,NS BLUESCOPE COATED PRODUCTS,"KAPAR, SELANGOR",Operating,3.157802,101.399322,PlantFacts,Exact,5036394366,NS Bluescope Malaysia Sdn Bhd,,,https://www.nsbluescope.com/my/company/our-offices/,2020-07-24,4295858761.0,BlueScope Steel Ltd,,,,,,,32365.999,0.013
MYS,MYS0015,Malaysia,2.0,,,0.0,MALAYSIA STEEL WKS.,"PENTALING JAYA, SELANGOR",Operating,3.085282,101.630503,PlantFacts,Exact,4295884031,Malaysia Steel Works (KL) Bhd,,,http://www.masteel.com.my/contact/location-map/,2020-07-24,4295884031.0,Malaysia Steel Works (KL) Bhd,,,,,,,32365.999,0.013
MYS,MYS0016,Malaysia,7.0,1.0,2050.0,1.0,ANN JOO STEEL BHD,"PRAI, PENANG",Operating,5.380391,100.37759799999999,PlantFacts,Exact,4295883033,Ann Joo Steel Bhd,,,http://www.annjoo.com.my/ann-joo-resources-berhad-its-group-of-companies/,2020-07-24,4295883687.0,Ann Joo Resources Bhd,,,,,,,32365.999,0.013
MYS,MYS0018,Malaysia,4.0,1.0,1230.0,1.0,EASTERN STEEL SDN BHD,"KEMAMAN,TERENGGANU",Operating,4.285062,103.432551,PlantFacts,Exact,5000744992,Eastern Steel Sdn Bhd,,,http://easternsteel.com.my/en/contact.html#gsc.tab=0,2020-07-24,5000564682.0,Beijing Jianlong Heavy Industry Group Co Ltd,,,,,,,32365.999,0.013
MYS,MYS0019,Malaysia,1.0,,810.0,0.0,ANTARA STEEL MILLS,"LABUAN, SABAH",Operating,5.253839,115.242717,PlantFacts,Exact,,,,,,,,,,,,,,,32365.999,0.013
MYS,MYS0020,Malaysia,1.0,,,0.0,NIPPON E-GALV STEEL,"PRAI, PENANG",Operating,5.338462,100.417582,PlantFacts,Exact,5000631856,Nippon EGalv Steel Sdn Bhd,,,https://www.nipponsteel.com/en/company/bases/,2020-04-08,4295877313.0,Nippon Steel Corp,,,,,,,32365.999,0.013
MYS,MYS0021,Malaysia,11.0,,1150.0,1.0,SOUTHERN STEEL BERH.,"PRAI, PENANG",Operating,5.346983,100.406627,PlantFacts,Exact,4295883267,Southern Steel Bhd,,,http://southsteel.com/locations,2020-07-24,4295883267.0,Southern Steel Bhd,,,,,,,32365.999,0.013
MYS,MYS0022,Malaysia,11.0,,2560.0,1.0,PERWAJA STEEL,"KEMAMAN, TRENGGANU",Operating,4.26547,103.46134599999999,PlantFacts,Exact,,,,,,,,,,,,,,,32365.999,0.013
MYS,MYS0023,Malaysia,3.0,,,0.0,PERWAJA STEEL,"GURUN, KEDAH",Operating,5.778871,100.49906999999999,PlantFacts,Exact,,,,,,,,,,,,,,,32365.999,0.013
MYS,MYS0024,Malaysia,2.0,,,0.0,FEDERAL IRON WORKS,"KLANG, SELANGOR",Operating,3.068437,101.474877,PlantFacts,Exact,4296121553,Federal Iron Works Sdn Bhd,,,https://fiw.com.my/contact/contact-us.html,2020-07-24,4296121553.0,Federal Iron Works Sdn Bhd,,,,,,,32365.999,0.013
MYS,MYS0027,Malaysia,2.0,,,0.0,YUNG KONG GALV. IND.,"KUCHING, SARAWAK",Operating,1.565129,110.38889499999999,PlantFacts,Exact,,,,,,,,,,,,,,,32365.999,0.013
MYS,MYS0028,Malaysia,1.0,,,0.0,LION PLATE MILLS SDN.BHD.,"KEMAMAN, TRENGGANU",Operating,4.403512,103.248504,PlantFacts,Exact,,,,,,,,,,,,,,,32365.999,0.013
MYS,MYS0029,Malaysia,3.0,,370.0,0.0,MALAYSIA STEEL WKS.,"BUKIT RAJA, SELANGOR",Operating,3.077835,101.46448000000001,PlantFacts,Exact,4295884031,Malaysia Steel Works (KL) Bhd,,,http://www.masteel.com.my/contact/location-map/,2020-07-24,4295884031.0,Malaysia Steel Works (KL) Bhd,,,,,,,32365.999,0.013
MYS,MYS0030,Malaysia,4.0,,,0.0,YUNG KONG GALV. IND.,"KLANG, SELANGOR",Operating,3.106211,101.397046,PlantFacts,Exact,,,,,,,,,,,,,,,32365.999,0.013
MYS,MYS0031,Malaysia,,,,0.0,,,Operating,5.399453,100.382177,http://southsteel.com/locations,Exact,4295883267,Southern Steel Bhd,,,http://southsteel.com/locations,2020-07-24,4295883267.0,Southern Steel Bhd,,,,,,,32365.999,0.013
MNG,MNG0001,Mongolia,4.0,,114.0,0.0,DARHAN STEEL,DARHAN,Operating,49.41855,105.95878400000001,PlantFacts,Exact,,,,,,,,,,,,,,,3278.29,0.0165
MMR,MMR0001,Myanmar,1.0,,,0.0,MYANMAR-POSCO C&C,YANGON,Operating,17.003514000000003,96.140141,PlantFacts,Exact,5000127845,Myanmar POSCO Steel Co Ltd,,,http://www.posco.com/homepage/docs/eng6/jsp/company/family/foreign_02_02.jsp,2020-04-08,4295881204.0,POSCO,,,,,,,54409.8,0.0067
OMN,OMN0001,Oman,1.0,,,0.0,AL JAZEERA STEEL PRODUCTS,SOHAR,Operating,24.438945,56.59483,PlantFacts,Exact,,,,,,,,,,,,,,,5106.626,0.0265
OMN,OMN0002,Oman,3.0,,200.0,0.0,MODERN STEEL MILLS,RUSAYL,Operating,23.558776,58.214741000000004,PlantFacts,Exact,,,,,,,,,,,,,,,5106.626,0.0265
OMN,OMN0003,Oman,3.0,,200.0,0.0,MUSCAT STEEL INDUSTRIES,RUSAYL,Operating,23.552898000000003,58.199906999999996,PlantFacts,Exact,,,,,,,,,,,,,,,5106.626,0.0265
OMN,OMN0004,Oman,1.0,,,0.0,HADID MAJAN LLC,RUSAYL,Operating,23.552053,58.213101,PlantFacts,Exact,,,,,,,,,,,,,,,5106.626,0.0265
OMN,OMN0005,Oman,7.0,,10000.0,1.0,JINDAL SHADEED IRON & STEEL,PORT OF SOHAR,Operating,24.505084,56.603724,PlantFacts,Exact,,,,,,,,,,,,,,,5106.626,0.0265
OMN,OMN0006,Oman,2.0,,9000.0,1.0,VALE OMAN PELLETIZING CO,PORT OF SOHAR,Operating,24.507215,56.592434999999995,PlantFacts,Exact,,,,,,,,,,,,,,,5106.626,0.0265
OMN,OMN0007,Oman,5.0,,720.0,0.0,SOHAR STEEL R. MILLS LLC,PORT OF SOHAR,Operating,24.499464,56.597867,PlantFacts,Exact,,,,,,,,,,,,,,,5106.626,0.0265
PAK,PAK0001,Pakistan,17.0,2.0,4180.0,1.0,PAKISTAN STEEL MILLS,"BIN QASIM, KARACHI",Operating,24.805135,67.346694,PlantFacts,Exact,5000849104,Pakistan Steel Mills Corp Pvt Ltd,1.1,,http://www.steelmelters.com/pakistan.htm,2020-03-04,5000849104.0,Pakistan Steel Mills Corp Pvt Ltd,,,,,"Data on production and private steel plants in Pakistan on the same website: there are ""140 steel melting induction furnaces producing 30 million ( including billet, rebars, channel and angle etc)""",,220892.34,0.02
PAK,PAK0002,Pakistan,3.0,,,0.0,AISHA STEEL MILLS,KARACHI,Operating,24.840713,67.34738,PlantFacts,Exact,,,,,,,,,,,,,,,220892.34,0.02
PAK,PAK0003,Pakistan,3.0,,,0.0,AMRELI STEELS,KARACHI,Operating,24.889698000000003,66.987187,PlantFacts,Exact,,,,,,,,,,,,,,,220892.34,0.02
PAK,PAK0004,Pakistan,11.0,,80.0,0.0,PEOPLES STEEL MILLS,"MANGHOPIR, KARACHI",Operating,24.96585,67.022604,PlantFacts,Exact,,,,,,,,,,,,,,,220892.34,0.02
PAK,PAK0005,Pakistan,7.0,,0.0,0.0,ITTEFAQ LTD.,LAHORE,Operating,31.258774,74.132858,PlantFacts,Exact,,,,,,,,,,,,,,,220892.34,0.02
PAK,PAK0006,Pakistan,2.0,,0.0,0.0,ISHTIAQ STEEL,LAHORE,Operating,31.610190999999997,74.362308,PlantFacts,Exact,,,,,,,,,,,,,,,220892.34,0.02
PAK,PAK0007,Pakistan,2.0,,,0.0,INTERNATIONAL INDUSTIES LTD,KARACHI,Operating,24.837854999999998,67.231431,PlantFacts,Exact,,,,,,,,,,,,,,,220892.34,0.02
PAK,PAK0008,Pakistan,5.0,,2780.0,1.0,TUWAIRQI STEEL MILLS,"BIN QASIM PORT, KARACHI",Operating,24.794878,67.35332700000001,PlantFacts,Exact,5035932965,Tuwairqi Steel Mills Ltd,,,http://tuwairqi.com.pk/new/,2020-03-09,5000072213.0,Al Tuwairqi Holding Co,,,,,,,220892.34,0.02
PHL,PHL0001,Philippines,4.0,,500.0,0.0,STEELASIA,"CALACA BATANGAS, LUZON",Operating,13.922346,120.823796,PlantFacts,Exact,4296596982,SteelAsia Mfg Corp,,,https://www.steelasia.com/company/plant-facilities/calaca-works,2020-07-27,4296596982.0,SteelAsia Mfg Corp,,,,,,,109581.078,0.0135
PHL,PHL0002,Philippines,1.0,,,0.0,PUYAT STEEL CORP,"ROSARIO, BATANGAS",Operating,13.834181,121.185566,PlantFacts,Exact,,,,,,,,,,,,,,,109581.078,0.0135
